11/24/20 10:26:16-INF-\033[0;32mProceso principal en ejecución Nº 7222 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 10:26:16-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 10:26:38-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:26:38-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 10:26:41-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mProceso principal en ejecución Nº 7322 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 10:26:41-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 10:27:40-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 10:27:40-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-/bin/bash-isaac
11/24/20 11:13:57-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:13:57-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:30:50-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:30:50-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:30:59-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:30:59-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 11:30:59-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:30:59-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:31:00-INF-\033[0;32mProceso principal en ejecución Nº 4433 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 11:31:00-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 11:31:20-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:31:20-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-/bin/bash-isaac
11/24/20 11:37:51-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:37:51-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-/bin/bash-isaac
11/24/20 11:41:35-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:41:35-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:41:38-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:41:38-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 11:41:38-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:41:38-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:41:38-INF-\033[0;32mProceso principal en ejecución Nº 5292 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 11:41:38-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 11:41:46-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:41:46-WAR-\033[0;33m Ambiente inicializado y proceso principal en ejecuión, debe ejecutar [frenarproceso.sh pprincipal] para reiniciar \033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:43:33-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:43:33-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:48:57-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:48:57-WAR-\033[0;33mEl ambiente está inicializado, pero pprincipal no esta en ejecución usar [arrancarProceso.sh pprincipal.sh] para reiniciar \033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:49:07-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:49:07-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:49:10-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:49:10-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 11:49:10-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:49:10-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:49:10-INF-\033[0;32mProceso principal en ejecución Nº 5900 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 11:49:10-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
11/24/20 11:49:56-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:49:56-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-./iniciarAmbiente.sh-isaac
11/24/20 11:49:59-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:49:59-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-/bin/bash-isaac
11/24/20 11:50:02-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:50:02-WAR-\033[0;33m La primera vez debe iniciar con permisos [. ./IniciarAmbiente.sh]\033[0m-/bin/bash-isaac
11/24/20 11:50:10-INF-\033[0;32m################## Inicializando el entorno de ejecición ##################\033[0m-/bin/bash-isaac
11/24/20 11:50:10-INF-\033[0;32mExportando variable de entorno \t \t...... correcto \033[0m-/bin/bash-isaac
11/24/20 11:50:10-INF-\033[0;32mcarpetas de instalacion \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:50:10-INF-\033[0;32mscripts de ejecución \t \t \t...... correcto\033[0m-/bin/bash-isaac
11/24/20 11:50:10-INF-\033[0;32mProceso principal en ejecución Nº 6068 \t ..........correcto \033[0m-/bin/bash-isaac
11/24/20 11:50:10-INF-\033[0;32mPara finalizar el proceso principal debe ejecutar [frenarproceso.sh pprincipal] \033[0m-/bin/bash-isaac
